Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,25,38.0,31.0,56.9,54.5,8145.6,2689.7,1.63,1.46,1.52,0.18,13.5,40.7,14.4,1.79,55.4
Aston Villa,31,38.0,35.0,62.3,56.2,7398.1,2507.7,1.45,1.28,1.12,0.17,10.5,30.5,9.55,1.76,38.2
Bournemouth,30,38.0,36.7,78.0,47.0,5815.2,2190.4,1.03,1.07,0.89,-0.04,10.9,28.3,9.26,2.32,34.6
Brentford,28,38.0,36.4,73.1,49.8,5946.6,2328.7,1.00,1.12,1.05,-0.12,8.74,25.4,8.76,2.79,33.8
Brighton,30,38.0,34.1,56.9,59.9,8975.3,2991.7,0.95,1.09,1.15,-0.15,11.1,39.1,10.1,2.13,46.8
Burnley,31,38.0,34.8,72.5,48.1,6474.9,2198.8,0.79,0.78,0.70,0.01,8.58,25.7,5.68,1.42,31.1
Chelsea,32,38.0,35.9,61.3,58.6,8643.4,2890.9,1.34,1.35,1.13,-0.01,11.0,35.6,9.26,1.34,42.5
Crystal Palace,26,38.0,31.7,68.6,46.2,5935.3,2234.8,1.13,1.02,0.83,0.11,9.29,26.2,7.18,1.58,30.9
Everton,26,38.0,38.7,80.4,48.1,5487.8,2325.6,0.45,1.00,0.84,-0.56,8.92,25.2,7.47,2.03,29.7
Fulham,25,38.0,41.7,75.1,55.6,7637.8,2645.7,1.05,0.99,0.88,0.06,9.97,29.4,9.34,2.47,38.6
Liverpool,30,38.0,43.1,74.1,58.2,9119.7,3123.7,1.58,1.68,1.46,-0.10,15.7,43.8,13.3,2.11,55.5
Luton Town,28,38.0,33.9,75.8,44.8,5302.0,2140.8,0.87,0.78,0.72,0.09,8.29,22.0,6.58,2.37,29.3
Manchester City,25,38.0,43.5,65.7,66.1,10370.1,2954.5,1.82,1.58,1.63,0.23,14.3,49.7,12.7,1.71,54.2
Manchester Utd,31,38.0,35.7,66.2,53.8,6855.4,2400.7,0.95,1.06,0.91,-0.11,11.4,31.6,8.89,1.32,38.9
Newcastle Utd,32,38.0,35.7,65.9,54.2,7217.5,2536.9,1.45,1.35,1.14,0.10,11.2,29.1,10.0,2.00,41.6
Nott'ham Forest,33,38.0,33.3,65.6,50.7,5527.0,2186.8,1.13,1.00,0.73,0.13,8.55,23.8,6.42,1.61,30.9
Sheffield Utd,35,38.0,27.4,69.1,39.7,4470.9,1877.3,0.47,0.68,0.55,-0.21,6.76,18.4,5.21,1.26,23.3
Tottenham,29,38.0,28.7,50.1,57.2,8584.8,2931.1,1.53,1.51,1.37,0.02,12.1,41.8,11.9,1.71,55.4
West Ham,26,38.0,35.0,71.5,48.9,5772.0,2252.0,1.05,0.92,0.81,0.14,8.03,25.8,5.92,1.87,31.8
Wolves,27,38.0,32.1,66.5,48.2,6735.1,2227.6,0.95,0.84,0.73,0.11,8.32,23.9,6.29,1.61,31.1
