Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,29.0,0.83,0.07,0.07,0.14,0.00,0.86,0.25,0.03,+0.04,4.14,5.17,32.6,31.3,4.41,50.7,39.1,10.6,1.38,13.0,1.69,1.69,16.6
Aston Villa,2,29.0,1.55,0.03,0.03,0.07,0.00,1.50,0.35,-0.05,-0.05,4.38,7.21,40.8,30.6,3.31,36.4,32.1,13.6,1.48,10.9,0.97,0.97,14.5
Bournemouth,3,29.0,1.24,0.14,0.03,0.14,0.00,1.57,0.30,0.32,+0.32,5.03,7.34,38.5,24.1,3.97,49.8,40.2,12.6,0.55,4.4,1.59,1.59,16.2
Brentford,2,29.0,1.55,0.03,0.00,0.07,0.10,1.51,0.26,0.06,+0.06,6.59,8.72,37.3,39.0,3.55,41.9,35.7,16.2,1.34,8.3,0.93,0.93,11.4
Brighton,2,29.0,1.45,0.24,0.03,0.14,0.07,1.26,0.30,-0.12,-0.12,3.45,6.41,32.4,32.1,3.52,25.8,24.6,12.0,0.86,7.2,1.45,1.45,15.4
Chelsea,2,29.0,1.28,0.17,0.00,0.14,0.00,1.30,0.25,0.03,+0.03,2.59,5.48,24.4,32.3,5.41,14.5,18.5,10.1,1.10,10.9,1.66,1.66,15.1
Crystal Palace,1,28.0,1.18,0.04,0.00,0.07,0.07,1.25,0.32,0.14,+0.14,4.00,8.04,25.5,24.2,3.07,50.2,41.5,14.6,0.71,4.9,1.14,1.14,14.6
Everton,1,29.0,1.24,0.00,0.03,0.21,0.00,1.29,0.31,0.04,+0.04,8.45,7.38,38.8,34.2,4.45,54.7,43.7,14.7,0.79,5.4,1.83,1.83,16.0
Fulham,1,29.0,1.31,0.07,0.00,0.14,0.07,1.15,0.28,-0.09,-0.09,3.31,6.93,34.5,30.8,3.93,31.8,29.3,13.1,0.66,5.0,0.83,0.83,13.0
Ipswich Town,3,29.0,2.14,0.17,0.00,0.17,0.03,1.98,0.33,-0.13,-0.13,4.55,7.79,33.8,26.5,4.83,53.1,40.8,14.7,1.90,12.9,0.97,0.97,7.6
Leicester City,3,29.0,2.24,0.03,0.00,0.10,0.10,2.04,0.36,-0.10,-0.10,4.93,8.17,28.9,30.3,4.76,44.3,33.8,16.4,0.86,5.3,1.00,1.00,20.7
Liverpool,3,29.0,0.93,0.00,0.00,0.03,0.00,0.97,0.29,0.04,+0.04,2.83,6.07,34.3,26.6,4.31,21.6,24.6,9.90,0.38,3.8,1.62,1.62,15.8
Manchester City,2,29.0,1.38,0.10,0.03,0.10,0.07,1.37,0.34,0.06,+0.06,3.41,5.00,44.6,32.3,4.10,21.4,24.7,9.38,0.45,4.8,1.66,1.66,17.5
Manchester Utd,1,29.0,1.38,0.10,0.00,0.34,0.03,1.40,0.32,0.05,+0.05,3.38,6.31,25.8,32.8,4.03,45.4,35.1,12.3,0.69,5.6,0.69,0.69,11.7
Newcastle Utd,2,28.0,1.36,0.00,0.00,0.14,0.04,1.35,0.31,0.02,+0.02,2.32,7.07,24.7,23.4,6.14,56.6,43.8,13.5,1.25,9.3,1.68,1.68,15.3
Nott'ham Forest,1,29.0,1.21,0.07,0.03,0.14,0.00,1.26,0.29,0.05,+0.05,6.86,8.55,35.9,17.4,2.17,66.1,47.2,18.0,0.59,3.3,0.21,0.21,7.8
Southampton,3,29.0,2.41,0.21,0.00,0.38,0.00,2.29,0.32,-0.12,-0.12,5.97,7.76,33.6,33.1,4.69,45.8,36.9,13.7,0.93,6.8,0.76,0.76,18.0
Tottenham,4,29.0,1.48,0.07,0.00,0.10,0.07,1.61,0.35,0.20,+0.20,1.38,7.28,32.3,27.0,4.86,4.7,15.3,13.4,1.17,8.7,1.10,1.10,11.1
West Ham,2,29.0,1.69,0.10,0.03,0.21,0.10,1.56,0.30,-0.03,-0.03,6.07,8.69,36.7,30.3,4.48,58.3,43.1,16.0,0.66,4.1,0.93,0.93,13.7
Wolves,2,29.0,2.00,0.21,0.03,0.34,0.10,1.66,0.32,-0.23,-0.23,4.17,6.59,28.7,27.2,4.03,41.9,34.9,15.6,1.17,7.5,1.62,1.62,13.4
