Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,38.0,1.13,0.08,0.00,0.16,0.03,1.05,0.28,-0.05,-0.05,2.87,4.87,25.4,24.3,4.58,49.2,42.8,10.0,0.58,5.8,1.13,1.13,16.1
Aston Villa,2,38.0,1.21,0.13,0.03,0.24,0.11,1.13,0.25,0.02,+0.02,5.63,6.97,36.6,32.8,4.03,46.8,38.3,13.9,1.71,12.3,2.00,2.00,14.2
Bournemouth,2,38.0,1.87,0.16,0.00,0.42,0.08,1.67,0.29,-0.12,-0.11,6.08,9.29,39.1,22.3,5.00,61.8,44.1,19.4,1.05,5.4,0.79,0.79,10.5
Brentford,1,38.0,1.21,0.05,0.03,0.24,0.08,1.27,0.24,0.13,+0.13,9.13,7.24,39.3,35.8,4.21,68.7,51.0,15.7,1.39,8.9,1.42,1.42,15.7
Brighton,2,38.0,1.39,0.16,0.00,0.16,0.16,1.12,0.27,-0.11,-0.11,2.47,6.50,33.7,28.1,3.97,20.6,23.2,9.34,0.71,7.6,0.84,0.84,12.3
Chelsea,2,38.0,1.24,0.03,0.03,0.21,0.08,1.24,0.30,0.08,+0.08,2.50,6.53,32.8,28.6,5.21,37.1,31.9,12.1,0.63,5.2,1.66,1.66,13.7
Crystal Palace,3,38.0,1.29,0.11,0.00,0.21,0.08,1.18,0.26,-0.03,-0.03,4.03,7.18,34.3,24.5,4.97,48.7,37.6,14.2,0.76,5.4,1.05,1.05,13.1
Everton,2,38.0,1.50,0.13,0.05,0.11,0.00,1.59,0.30,0.09,+0.09,7.21,8.55,33.7,26.6,4.11,70.8,52.4,15.5,0.61,3.9,1.37,1.37,5.0
Fulham,2,38.0,1.39,0.18,0.03,0.21,0.05,1.58,0.28,0.24,+0.24,3.68,7.37,32.0,30.9,5.08,37.1,35.0,12.9,0.95,7.3,1.26,1.26,14.0
Leeds United,2,38.0,2.05,0.13,0.03,0.18,0.03,1.69,0.32,-0.34,-0.34,3.26,7.24,23.8,23.2,5.63,58.2,44.1,12.5,0.95,7.6,1.82,1.82,11.6
Leicester City,2,38.0,1.79,0.11,0.11,0.21,0.13,1.46,0.29,-0.20,-0.20,3.47,8.18,26.6,26.4,5.34,48.6,38.6,14.7,0.95,6.5,1.26,1.26,10.3
Liverpool,2,38.0,1.24,0.05,0.00,0.00,0.05,1.42,0.33,0.24,+0.24,3.11,5.66,41.4,33.1,5.71,24.7,29.9,10.5,0.61,5.8,2.34,2.34,9.0
Manchester City,2,38.0,0.87,0.08,0.03,0.11,0.03,0.80,0.30,-0.04,-0.05,3.37,4.76,44.6,32.7,4.29,28.7,30.4,8.21,0.53,6.4,1.05,1.05,15.7
Manchester Utd,1,38.0,1.13,0.05,0.05,0.16,0.03,1.09,0.27,-0.02,-0.02,3.71,7.95,31.4,23.9,3.37,37.4,31.7,13.8,0.39,2.9,0.84,0.84,14.8
Newcastle Utd,2,38.0,0.87,0.05,0.00,0.21,0.05,0.87,0.24,0.06,+0.06,3.32,6.05,33.3,18.8,6.47,64.3,48.5,11.6,0.92,7.9,1.95,1.95,12.4
Nott'ham Forest,3,38.0,1.79,0.16,0.05,0.24,0.00,1.58,0.30,-0.21,-0.21,6.24,8.89,33.3,25.2,4.87,66.3,47.5,16.3,0.92,5.6,1.00,1.00,17.0
Southampton,2,38.0,1.92,0.05,0.03,0.21,0.13,1.21,0.29,-0.58,-0.58,6.16,7.97,31.5,29.3,4.55,59.1,44.9,14.4,1.11,7.7,1.45,1.45,13.5
Tottenham,2,38.0,1.66,0.08,0.03,0.18,0.03,1.45,0.30,-0.18,-0.18,2.97,7.45,33.0,21.2,4.74,32.9,29.5,13.6,0.66,4.9,1.18,1.18,15.2
West Ham,2,38.0,1.45,0.11,0.00,0.11,0.03,1.40,0.29,-0.02,-0.02,5.58,7.95,38.3,18.8,4.39,53.6,40.8,14.7,0.82,5.5,0.68,0.68,10.3
Wolves,2,38.0,1.53,0.05,0.00,0.16,0.03,1.37,0.28,-0.13,-0.13,3.42,7.45,28.0,26.1,5.16,59.4,45.1,15.2,1.26,8.3,0.76,0.76,8.0
