Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,25,38.0,1.68,0.05,0.03,10.3,10.4,2.29,17.6,7.68,9.16,0.24,0.08,0.03,46.1,13.2,13.1,50.2
Aston Villa,31,38.0,2.47,0.05,0.00,10.8,12.4,1.24,17.1,6.21,8.18,0.11,0.05,0.11,42.6,8.79,9.55,47.9
Bournemouth,30,38.0,2.08,0.08,0.00,13.3,9.89,1.47,18.7,9.39,10.8,0.08,0.18,0.03,53.0,15.3,17.7,46.4
Brentford,28,38.0,2.34,0.05,0.00,10.1,11.0,1.84,18.6,9.95,10.5,0.08,0.05,0.00,49.8,16.6,16.0,51.0
Brighton,30,38.0,2.37,0.08,0.00,10.9,11.9,2.21,17.7,7.58,9.63,0.16,0.16,0.05,46.1,10.7,9.08,54.1
Burnley,31,38.0,2.03,0.18,0.08,11.3,9.29,2.00,14.5,7.37,9.00,0.08,0.18,0.08,45.4,14.8,18.3,44.6
Chelsea,32,38.0,2.87,0.11,0.05,11.7,11.9,2.24,14.7,7.84,9.89,0.29,0.13,0.08,48.6,11.6,10.6,52.3
Crystal Palace,26,38.0,1.92,0.05,0.05,12.0,11.2,1.89,15.3,8.50,12.2,0.11,0.08,0.05,50.2,14.6,14.6,49.9
Everton,26,38.0,2.16,0.03,0.03,12.0,9.50,2.34,19.8,9.42,11.6,0.05,0.21,0.08,51.8,17.8,15.2,54.0
Fulham,28,38.0,2.21,0.11,0.08,10.1,9.58,1.34,19.4,9.76,10.1,0.05,0.21,0.11,48.3,12.8,13.4,48.9
Liverpool,30,38.0,1.82,0.13,0.05,12.2,9.89,2.63,21.5,7.68,11.0,0.21,0.03,0.05,53.5,15.3,11.6,56.9
Luton Town,28,38.0,1.87,0.00,0.00,11.7,11.8,1.76,22.1,8.55,9.68,0.05,0.11,0.11,49.2,16.7,16.6,50.2
Manchester City,25,38.0,1.39,0.05,0.03,7.61,10.8,1.11,18.4,6.13,8.03,0.21,0.08,0.03,45.6,8.55,7.58,53.0
Manchester Utd,31,38.0,2.18,0.03,0.03,10.6,8.95,2.39,15.6,8.24,10.8,0.16,0.18,0.03,48.7,11.5,11.8,49.2
Newcastle Utd,32,38.0,2.08,0.08,0.03,10.2,12.3,1.55,17.1,7.50,10.3,0.24,0.13,0.03,48.3,11.9,11.0,52.0
Nott'ham Forest,33,38.0,2.16,0.08,0.05,11.9,9.76,2.03,15.7,8.71,11.3,0.03,0.11,0.05,47.6,15.4,14.7,51.2
Sheffield Utd,35,38.0,2.66,0.13,0.08,11.1,8.37,1.68,11.3,9.16,10.7,0.08,0.18,0.18,43.1,15.4,18.3,45.8
Tottenham,29,38.0,2.42,0.11,0.05,11.2,13.4,2.18,18.7,9.34,11.9,0.05,0.18,0.08,50.2,9.45,10.2,48.1
West Ham,26,38.0,2.16,0.08,0.08,10.3,10.3,1.87,17.4,9.50,11.2,0.11,0.26,0.11,47.8,15.2,15.0,50.3
Wolves,27,38.0,2.68,0.11,0.05,12.5,10.7,2.05,15.2,7.47,11.3,0.11,0.21,0.03,49.6,11.6,12.9,47.3
