Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,24,29.0,2.07,0.17,0.07,11.5,10.6,2.21,20.9,6.24,9.62,0.07,0.07,0.00,38.1,13.1,12.4,51.3
Aston Villa,28,29.0,2.00,0.07,0.03,11.4,13.1,1.66,16.3,6.55,9.66,0.10,0.07,0.00,38.0,10.2,11.0,48.1
Bournemouth,28,29.0,2.55,0.03,0.00,13.8,10.2,1.97,21.5,9.97,11.3,0.24,0.14,0.00,50.1,14.8,16.9,46.7
Brentford,27,29.0,1.38,0.03,0.00,7.83,8.90,1.97,18.0,7.76,10.1,0.14,0.03,0.10,43.4,17.2,15.0,53.4
Brighton,30,29.0,2.14,0.03,0.03,11.7,11.3,1.14,17.4,8.52,10.8,0.10,0.24,0.07,43.6,13.8,12.7,52.1
Chelsea,29,29.0,2.79,0.03,0.03,11.8,11.9,1.62,16.4,7.34,9.55,0.14,0.21,0.00,41.1,10.6,10.2,51.0
Crystal Palace,27,28.0,2.07,0.04,0.00,10.8,10.9,1.89,16.3,8.57,12.7,0.07,0.07,0.07,46.3,14.5,17.9,44.7
Everton,26,29.0,2.10,0.07,0.03,11.6,9.90,2.28,17.8,9.00,11.7,0.00,0.07,0.00,41.4,15.9,15.0,51.6
Fulham,26,29.0,2.10,0.07,0.00,11.2,9.93,1.14,23.3,8.55,10.5,0.10,0.07,0.07,42.5,13.6,14.0,49.3
Ipswich Town,32,29.0,2.59,0.10,0.10,11.5,10.3,1.45,13.6,8.72,9.03,0.07,0.17,0.03,39.2,13.9,13.9,50.0
Leicester City,28,29.0,2.21,0.00,0.00,10.7,10.2,1.66,17.2,8.76,11.3,0.07,0.07,0.10,39.9,13.8,15.2,47.4
Liverpool,24,29.0,1.93,0.07,0.03,11.6,9.34,1.45,18.4,8.14,10.9,0.21,0.03,0.00,42.8,10.8,8.79,55.1
Manchester City,27,29.0,1.72,0.03,0.03,7.41,9.90,1.21,17.4,5.97,8.07,0.10,0.10,0.07,38.0,7.97,8.41,48.6
Manchester Utd,29,29.0,2.21,0.10,0.03,10.7,9.69,1.90,15.4,10.4,12.8,0.10,0.14,0.03,45.4,12.5,12.8,49.3
Newcastle Utd,24,28.0,1.86,0.04,0.00,10.6,12.3,2.04,17.7,7.68,10.1,0.11,0.00,0.04,44.2,12.0,12.0,50.0
Nott'ham Forest,23,29.0,2.21,0.07,0.07,10.6,11.0,2.31,15.6,8.66,11.3,0.10,0.07,0.00,41.3,14.7,14.5,50.4
Southampton,34,29.0,2.59,0.10,0.00,12.1,11.6,1.34,15.0,8.14,10.1,0.07,0.21,0.00,38.7,12.4,10.6,54.1
Tottenham,31,29.0,1.86,0.03,0.03,11.3,13.0,1.52,20.4,8.31,11.7,0.07,0.07,0.07,45.7,11.2,11.7,49.0
West Ham,27,29.0,2.17,0.10,0.07,11.5,10.4,1.90,16.3,8.86,10.1,0.07,0.10,0.10,41.8,15.8,15.1,51.2
Wolves,28,29.0,2.17,0.07,0.07,13.0,11.0,1.83,14.7,8.28,12.3,0.00,0.24,0.10,43.5,11.7,12.6,48.1
