Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,26,38.0,6.55,9.03,6.26,5.58,3.11,13.4,48.8,6.87,9.53,2.26,7.26,6.24,21.2,15.8,0.61
Aston Villa,26,38.0,8.21,8.89,8.03,6.61,2.00,17.1,48.1,8.84,11.5,3.11,8.42,8.53,25.2,18.8,0.37
Bournemouth,31,38.0,6.74,9.76,8.32,6.55,1.39,16.2,41.7,9.42,13.1,4.47,8.66,9.29,25.6,27.0,0.29
Brentford,25,38.0,6.66,8.89,7.13,6.00,2.34,15.7,42.4,9.05,12.0,4.42,7.58,8.97,24.4,21.6,0.37
Brighton,29,38.0,7.00,8.95,7.11,6.37,2.74,14.8,47.4,7.76,10.3,2.74,7.58,7.97,24.2,11.4,0.39
Chelsea,32,38.0,8.76,11.7,9.55,7.03,2.89,17.3,50.8,8.50,12.3,2.84,9.42,8.97,28.4,17.4,0.55
Crystal Palace,26,38.0,7.39,11.1,9.32,6.47,2.37,14.0,52.8,6.61,12.2,3.13,9.05,9.45,27.6,21.2,0.18
Everton,28,38.0,8.13,11.2,9.53,6.76,2.34,16.3,49.9,8.16,13.4,4.74,8.68,10.3,28.9,23.0,0.45
Fulham,29,38.0,7.87,9.21,7.76,6.03,2.66,15.5,50.9,7.61,12.0,3.29,8.68,8.95,25.4,19.7,0.39
Leeds United,29,38.0,10.8,12.6,9.89,9.03,3.18,22.9,47.4,12.1,14.1,3.45,10.7,10.3,32.4,19.3,0.47
Leicester City,28,38.0,8.11,10.8,9.08,7.66,1.66,17.8,45.5,9.71,13.6,4.47,9.13,9.66,28.1,20.4,0.32
Liverpool,28,38.0,7.39,9.74,6.00,6.58,2.95,17.1,43.2,9.74,9.21,1.95,7.26,8.76,24.3,14.9,0.53
Manchester City,24,38.0,5.58,7.16,4.87,5.21,2.32,12.2,45.9,6.58,8.92,2.50,6.42,5.87,18.3,10.6,0.24
Manchester Utd,26,38.0,7.89,10.5,9.03,6.08,2.18,15.8,50.0,7.89,13.1,3.84,9.21,9.26,26.6,20.3,0.29
Newcastle Utd,27,38.0,8.08,9.47,7.05,6.68,2.24,16.9,47.8,8.82,11.8,3.05,8.74,8.76,24.7,17.9,0.26
Nott'ham Forest,33,38.0,7.79,10.2,10.0,5.29,2.05,15.5,50.3,7.71,13.2,4.11,9.05,9.18,26.5,24.8,0.18
Southampton,36,38.0,7.82,11.2,9.95,7.34,1.50,16.1,48.5,8.29,14.3,4.34,9.92,11.2,30.0,22.4,0.29
Tottenham,29,38.0,7.24,9.29,8.55,5.66,2.08,15.1,47.9,7.87,11.3,3.89,7.37,8.95,25.2,20.1,0.53
West Ham,25,38.0,7.11,8.84,7.63,5.95,2.42,14.8,48.0,7.71,10.9,3.66,7.26,10.7,26.7,21.3,0.26
Wolves,32,38.0,7.50,9.74,9.55,5.84,1.97,16.2,46.3,8.71,13.1,4.61,8.47,7.34,24.7,21.5,0.50
