Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,1.26,0.13,0.00,0.08,0.03,1.25,0.29,0.02,+0.02,3.97,6.61,28.3,27.3,4.61,63.7,48.3,12.8,0.84,6.6,1.61,1.61,7.3
Aston Villa,3,38.0,1.42,0.11,0.05,0.13,0.05,1.22,0.29,-0.14,-0.14,4.13,7.97,35.5,23.2,4.63,39.9,34.8,13.5,1.05,7.8,0.89,0.89,15.4
Brentford,3,38.0,1.47,0.13,0.03,0.21,0.05,1.30,0.25,-0.12,-0.12,7.84,7.89,38.8,35.7,4.84,61.0,45.2,16.5,0.97,5.9,1.53,1.53,15.8
Brighton,2,38.0,1.16,0.08,0.03,0.16,0.00,1.12,0.28,-0.04,-0.04,4.24,6.34,28.3,34.7,4.95,64.3,48.8,14.1,1.58,11.2,0.95,0.95,9.3
Burnley,2,38.0,1.39,0.13,0.03,0.18,0.05,1.25,0.25,-0.09,-0.09,9.11,8.00,39.8,22.4,4.05,91.1,61.3,16.9,1.21,7.2,2.21,2.21,17.0
Chelsea,2,38.0,0.87,0.16,0.00,0.05,0.03,0.83,0.22,-0.01,-0.01,2.39,5.32,41.0,23.5,4.82,25.7,24.9,11.0,0.79,7.2,1.42,1.42,18.8
Crystal Palace,2,38.0,1.21,0.08,0.05,0.29,0.05,1.01,0.24,-0.14,-0.14,3.42,7.16,34.7,26.2,5.84,40.1,33.1,13.8,0.74,5.3,1.13,1.13,11.2
Everton,2,38.0,1.74,0.05,0.05,0.34,0.13,1.47,0.29,-0.13,-0.13,7.68,7.84,34.6,24.4,3.26,80.5,59.5,14.9,0.68,4.6,0.97,0.97,10.7
Leeds United,2,38.0,2.08,0.13,0.08,0.26,0.03,1.64,0.26,-0.41,-0.41,2.87,7.68,26.4,29.2,7.26,37.0,33.2,11.7,0.61,5.2,1.24,1.24,23.7
Leicester City,2,38.0,1.55,0.18,0.03,0.39,0.03,1.50,0.26,-0.03,-0.03,5.16,7.95,39.9,26.9,4.58,41.7,36.7,14.5,0.42,2.9,1.03,1.03,10.7
Liverpool,2,38.0,0.68,0.00,0.00,0.08,0.03,0.70,0.26,0.04,+0.04,3.05,4.87,43.3,34.1,5.89,31.4,32.7,9.47,0.58,6.1,2.42,2.42,17.1
Manchester City,2,38.0,0.68,0.03,0.00,0.03,0.00,0.68,0.29,-0.01,-0.01,2.32,3.87,46.8,26.8,4.50,19.0,26.2,8.16,0.55,6.8,1.53,1.53,19.0
Manchester Utd,1,38.0,1.50,0.08,0.00,0.11,0.08,1.45,0.29,0.03,+0.03,2.71,7.87,32.7,16.4,3.53,42.8,35.9,13.8,0.21,1.5,0.66,0.66,14.0
Newcastle Utd,3,38.0,1.63,0.13,0.00,0.21,0.05,1.38,0.29,-0.20,-0.20,7.95,9.05,41.6,22.7,3.34,84.6,57.5,13.7,0.79,5.8,0.47,0.47,10.5
Norwich City,2,38.0,2.21,0.24,0.03,0.24,0.05,1.78,0.27,-0.38,-0.38,4.71,8.18,33.9,28.0,5.66,45.3,38.5,16.2,0.45,2.8,0.87,0.87,17.3
Southampton,3,38.0,1.76,0.05,0.00,0.32,0.05,1.51,0.31,-0.21,-0.21,5.16,7.50,32.0,23.3,3.92,70.9,49.3,15.1,1.11,7.3,0.87,0.87,14.0
Tottenham,1,38.0,1.05,0.05,0.03,0.13,0.03,0.99,0.26,-0.04,-0.04,3.03,7.42,41.2,17.7,4.24,28.0,26.4,14.9,0.87,5.8,1.18,1.18,14.2
Watford,2,38.0,2.03,0.16,0.03,0.16,0.08,1.59,0.29,-0.36,-0.36,7.03,8.16,32.2,24.5,3.24,83.9,57.0,16.9,0.71,4.2,1.29,1.29,15.9
West Ham,2,38.0,1.34,0.05,0.05,0.21,0.05,1.26,0.27,-0.03,-0.03,5.32,8.03,36.5,19.7,4.39,57.4,42.9,16.1,0.76,4.8,0.32,0.32,5.5
Wolves,2,38.0,1.13,0.24,0.03,0.05,0.03,1.30,0.25,0.19,+0.19,3.21,7.24,28.8,22.7,5.79,42.2,36.5,14.8,1.16,7.8,1.08,1.08,14.2
