Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,24,29.0,27.8,54.3,51.2,7165.2,2290.2,1.38,1.17,1.20,0.21,10.9,36.2,11.2,1.93,48.1
Aston Villa,28,29.0,27.7,52.0,53.1,6732.2,2319.5,1.07,1.05,0.98,0.02,9.21,29.9,8.55,1.59,34.8
Bournemouth,28,29.0,35.9,74.7,48.0,6020.8,2293.0,1.24,1.26,1.00,-0.02,12.2,32.3,9.00,2.55,39.2
Brentford,27,29.0,37.4,70.4,53.2,6555.5,2497.0,1.10,1.12,1.00,-0.02,8.79,29.7,8.83,2.41,37.0
Brighton,30,29.0,35.3,63.9,55.2,7014.4,2416.1,1.03,1.06,1.00,-0.03,9.62,30.2,8.66,2.24,40.1
Chelsea,29,29.0,36.8,65.8,55.9,8443.5,2649.8,1.38,1.48,1.17,-0.10,12.2,40.1,8.79,1.62,41.2
Crystal Palace,27,28.0,31.0,69.1,44.9,5797.1,2179.4,0.93,1.19,0.92,-0.26,10.3,24.5,7.21,1.82,32.1
Everton,26,29.0,40.4,76.9,52.6,5647.4,2256.0,0.66,0.83,0.74,-0.18,8.34,26.8,7.10,2.34,27.6
Fulham,26,29.0,40.5,72.2,56.1,7774.6,2603.9,1.28,1.07,0.94,0.21,10.7,35.3,8.79,2.72,41.9
Ipswich Town,32,29.0,26.9,57.9,46.5,5535.9,2064.2,0.66,0.62,0.56,0.03,7.31,23.8,4.41,1.38,25.2
Leicester City,28,29.0,28.4,62.1,45.7,6219.5,2252.0,0.69,0.70,0.70,-0.01,6.83,26.7,5.93,1.90,29.7
Liverpool,24,29.0,36.7,65.4,56.1,8164.2,2748.1,1.76,1.63,1.41,0.13,13.3,41.1,11.7,2.24,49.7
Manchester City,27,29.0,32.5,51.9,62.6,9075.5,2576.8,1.38,1.46,1.41,-0.08,13.0,42.3,11.5,1.76,51.3
Manchester Utd,29,29.0,32.4,63.6,51.0,7241.5,2363.8,0.79,1.01,0.88,-0.21,10.1,29.6,7.97,1.72,36.4
Newcastle Utd,24,28.0,29.5,59.6,49.4,6733.0,2410.4,1.25,1.23,1.09,0.02,10.1,29.7,9.57,1.71,40.6
Nott'ham Forest,23,29.0,27.0,61.0,44.3,4719.7,1939.2,1.17,0.92,0.82,0.26,8.86,23.7,6.28,1.45,28.9
Southampton,34,29.0,30.3,58.5,51.8,7213.2,2313.0,0.41,0.70,0.68,-0.29,7.48,27.3,6.03,1.62,31.4
Tottenham,31,29.0,28.8,53.8,53.6,7556.2,2556.1,1.41,1.27,1.04,0.15,11.0,35.2,10.8,2.34,44.6
West Ham,27,29.0,36.6,68.8,53.2,6616.7,2360.4,0.62,0.88,0.84,-0.26,8.93,27.9,7.03,1.93,31.9
Wolves,28,29.0,33.4,66.8,50.1,6407.0,2197.4,1.17,0.90,0.64,0.28,8.07,27.4,7.38,1.83,31.9
